JDtimes, Fluxes, Uncertainty
2559.129759,256.046881,19.06802239
2559.130440,222.040266,19.22274177
2559.131121,197.973420,19.3473039
2559.131802,220.740393,19.22911659
2559.132483,170.074910,19.51222049
2559.133164,178.717095,19.45840588
2559.133845,231.339522,19.17819653
2559.134526,203.741685,19.31612138
2559.135208,239.862373,19.1389158
2559.135889,185.052076,19.42058622
2559.136570,226.169471,19.20273616
2559.137251,230.386735,19.18267744
2559.137932,221.389779,19.2259272
2559.138613,221.217888,19.22677051
2559.139294,277.889567,18.97914051
2559.139975,233.025805,19.17031108
2559.140656,249.978923,19.09406263
2559.141337,240.570981,19.13571302
2559.142018,279.710150,18.97205055
2559.142699,250.964029,19.08979242
2559.143381,253.256689,19.0799188
2559.144062,259.115927,19.05508585
2559.144743,261.619039,19.04464775
2559.145424,285.002867,18.95169805
2559.146105,262.567545,19.04071851
2559.146786,260.600267,19.04888398
2559.147467,245.224221,19.11491271
2559.148148,252.815432,19.08181217
2559.148829,232.133042,19.17447871
2559.149510,242.181008,19.12847091
2559.150191,236.779813,19.15295943
2559.150872,278.055355,18.97849296
2559.151553,237.670884,19.14888116
2559.152235,294.846285,18.91483197
2559.152916,308.091427,18.86712208
2559.153597,253.193104,19.08019143
2559.154278,273.799427,18.99523978
2559.154959,276.229049,18.98564775
2559.155640,272.239487,19.00144332
2559.156321,221.424452,19.22575717
2559.157002,270.834252,19.00706215
2559.157683,295.354099,18.91296361
2559.158364,280.295532,18.96978068
2559.159045,276.949023,18.98282152
2559.159726,332.772705,18.78345188
2559.160408,278.691530,18.97601169
2559.161089,315.022095,18.84296858
2559.161770,282.609672,18.96085357
2559.162451,260.956573,19.04740052
2559.163132,324.575277,18.81053252
2559.163813,284.299759,18.95437989
2559.164494,269.661800,19.01177254
2559.165175,279.521046,18.97278484
2559.165856,260.094473,19.05099331
2559.166537,308.788607,18.86466795
2559.167218,310.427514,18.8589206
2559.167899,335.652998,18.77409479
2559.168580,360.548565,18.69641169
2559.169262,356.154033,18.70972645
2559.169943,329.690574,18.79355479
2559.170624,365.857070,18.68054249
2559.171305,339.079069,18.76306866
2559.171986,337.799122,18.76717483
2559.172667,322.938657,18.81602103
2559.173348,322.874192,18.81623779
2559.174029,358.469951,18.70268922
2559.174710,339.430447,18.76194413
2559.175391,355.121675,18.71287817
2559.176072,342.273750,18.75288713
2559.176754,347.318616,18.73700096
2559.177435,329.231967,18.79506613
2559.178116,298.050813,18.90309534
2559.178797,316.981855,18.83623511
2559.179478,278.651067,18.97616934
2559.180159,305.049698,18.87789462
2559.180840,304.224821,18.88083451
2559.181521,344.831324,18.74480434
2559.182202,326.012936,18.80573403
2559.182883,286.449687,18.94620024
2559.183564,321.540623,18.8207315
2559.184245,307.770334,18.86825423
2559.184926,294.895277,18.91465158
2559.185607,283.599737,18.95705656
2559.186289,176.761140,19.47035413
2559.186970,142.259225,19.70612002
2559.187651,170.497978,19.50952304
2559.188332,149.188668,19.65448152
2559.189013,225.555871,19.20568578
2559.189694,235.783777,19.15753632
2559.190375,272.989075,18.99845795
2559.191056,310.602406,18.85830908
2559.191737,302.930521,18.88546354
2559.192418,347.539836,18.73630964
2559.193099,318.112810,18.83236822
2559.193781,320.865346,18.82301408
2559.194462,330.429694,18.79112345
2559.195143,347.036254,18.737884
2559.195824,354.111870,18.71596991
2559.196505,387.820394,18.61724451
2559.197186,373.229698,18.65888063
2559.197867,364.621949,18.6842141
2559.198548,340.616517,18.75815686
2559.199229,367.797758,18.67479842
2559.199910,327.141621,18.80198161
2559.200591,312.335384,18.85226815
2559.201272,328.987777,18.79587171
2559.201953,331.613038,18.78724212
2559.202635,303.907047,18.88196919
2559.203316,317.381212,18.83486808
2559.203997,313.780464,18.84725637
2559.204678,319.012319,18.82930248
2559.205359,360.181061,18.69751894
2559.206040,350.299358,18.72772277
2559.206721,313.566353,18.84799748
2559.207402,312.793753,18.85067594
2559.208083,338.078360,18.76627768
2559.208764,337.638984,18.76768965
2559.209445,315.361079,18.84180088
2559.210126,332.845243,18.78321523
2559.210808,331.430450,18.7878401
2559.211489,294.095662,18.91759957
2559.212170,321.078669,18.82229248
2559.212851,308.621781,18.86525468
2559.213532,317.342765,18.83499961
2559.214213,263.002482,19.0389215
2559.214894,282.112579,18.96276499
2559.215575,296.554094,18.90856131
2559.216256,330.080435,18.79227166
2559.216937,373.921870,18.65686895
2559.217618,314.687266,18.84412319
2559.218299,339.355836,18.76218281
2559.218980,272.422115,19.00071522
2559.219662,286.867792,18.94461664
2559.220343,284.680026,18.95292862
2559.221024,292.153808,18.92479224
2559.221705,290.314369,18.93164979
2559.222386,294.500372,18.9161065
